ID,Lat,Lon
KCACOSTA20,33.64578629,-117.9334259
KNYSYRAC37,43.05002213,-76.1525116
KCASANBE9,34.18723297,-117.3191681
KMNMAPLE54,44.91753387,-93.00248718
